         x         y           v           s          Vx          Vy
         0         0           0           0           0           0
         0         1           0           0           0           1
         2         0           0           0           0           0
         2         1           0           0           0           0
      0.02      0.01  -0.0019826  6.3047e-08  1.4266e-05   7.055e-06
      0.02      0.02   -0.002453  2.8532e-07  2.8876e-05    2.55e-05
      0.02      0.03  -0.0029036  6.4056e-07  3.9984e-05  5.2145e-05
      0.02      0.04  -0.0033994   1.085e-06  4.6687e-05  8.3758e-05
      0.02      0.05  -0.0039186  1.5743e-06  4.9222e-05  0.00011732
      0.02      0.06  -0.0043993  2.0694e-06  4.8185e-05  0.00015012
      0.02      0.07  -0.0047643   2.538e-06  4.4209e-05  0.00017984
      0.02      0.08  -0.0049342  2.9536e-06  3.7852e-05  0.00020444
      0.02      0.09  -0.0048339   3.295e-06  2.9566e-05  0.00022224
      0.02       0.1  -0.0043945  3.5449e-06  1.9705e-05  0.00023176
      0.02      0.11  -0.0035546  3.6891e-06  8.5427e-06  0.00023176
      0.02      0.12  -0.0022594  3.7158e-06 -3.7157e-06  0.00022114
      0.02      0.13 -0.00046029  3.6148e-06 -1.6914e-05  0.00019898
      0.02      0.14   0.0018862  3.3775e-06 -3.0935e-05  0.00016442
      0.02      0.15   0.0048192  2.9961e-06  -4.569e-05  0.00011672
      0.02      0.16   0.0083741  2.4637e-06 -6.1114e-05  5.5187e-05
      0.02      0.17    0.012583  1.7738e-06 -7.7157e-05   -2.08e-05
      0.02      0.18    0.017477  9.2055e-07 -9.3783e-05 -0.00011183
      0.02      0.19    0.023083 -1.0183e-07 -0.00011097 -0.00021846
      0.02       0.2    0.029427 -1.2988e-06 -0.00012869 -0.00034122
      0.02      0.21    0.036535 -2.6756e-06 -0.00014694 -0.00048062
      0.02      0.22    0.044431 -4.2375e-06 -0.00016571 -0.00063716
      0.02      0.23    0.053138 -5.9897e-06   -0.000185 -0.00081132
      0.02      0.24    0.062679 -7.9375e-06 -0.00020481  -0.0010036
      0.02      0.25    0.073072 -1.0086e-05 -0.00022515  -0.0012144
      0.04      0.01  -0.0046548   2.822e-07  5.0999e-05  1.1947e-05
      0.04      0.02  -0.0035587    1.02e-06  9.0179e-05  3.9519e-05
      0.04      0.03  -0.0024239  2.0858e-06  0.00011652  7.6628e-05
      0.04      0.04  -0.0012791  3.3503e-06  0.00013034  0.00011827
      0.04      0.05 -0.00011872  4.6926e-06  0.00013273  0.00016011
      0.04      0.06   0.0010871  6.0049e-06  0.00012504  0.00019828
      0.04      0.07   0.0023828  7.1934e-06  0.00010864  0.00022935
      0.04      0.08   0.0038203  8.1778e-06  8.4809e-05  0.00025026
      0.04      0.09   0.0054534  8.8896e-06  5.4633e-05  0.00025829
      0.04       0.1   0.0073355  9.2704e-06  1.9034e-05  0.00025102
      0.04      0.11   0.0095173  9.2703e-06 -2.1233e-05  0.00022632
      0.04      0.12    0.012046  8.8458e-06 -6.5557e-05  0.00018226
      0.04      0.13    0.014966  7.9591e-06 -0.00011345  0.00011713
      0.04      0.14    0.018316  6.5768e-06 -0.00016452  2.9379e-05
      0.04      0.15    0.022134  4.6687e-06 -0.00021846 -8.2401e-05
      0.04      0.16    0.026453  2.2075e-06 -0.00027503 -0.00021951
      0.04      0.17    0.031303 -8.3198e-07 -0.00033404 -0.00038315
      0.04      0.18    0.036714 -4.4732e-06 -0.00039532 -0.00057443
      0.04      0.19    0.042712 -8.7385e-06 -0.00045878 -0.00079443
      0.04       0.2     0.04932 -1.3649e-05 -0.00052432  -0.0010441
      0.04      0.21    0.056562 -1.9225e-05 -0.00059188  -0.0013245
      0.04      0.22    0.064459 -2.5486e-05  -0.0006614  -0.0016365
      0.04      0.23    0.073031 -3.2453e-05 -0.00073285  -0.0019811
      0.04      0.24    0.082298 -4.0144e-05 -0.00080622   -0.002359
      0.04      0.25    0.092273 -4.8577e-05 -0.00088148  -0.0027711
      0.06      0.01  -0.0077549  5.4092e-07  9.3304e-05  1.2062e-05
      0.06      0.02  -0.0048196  1.8661e-06  0.00015824  3.9059e-05
      0.06      0.03  -0.0019835  3.7057e-06  0.00019749  7.3763e-05
      0.06      0.04  0.00077978  5.8159e-06  0.00021365  0.00011023
      0.06      0.05   0.0035008  7.9787e-06  0.00020924  0.00014337
      0.06      0.06   0.0062157  1.0001e-05  0.00018667   0.0001687
      0.06      0.07   0.0089656  1.1712e-05  0.00014817  0.00018223
      0.06      0.08    0.011794  1.2964e-05  9.5722e-05  0.00018032
      0.06      0.09    0.014747  1.3627e-05  3.1086e-05  0.00015971
      0.06       0.1    0.017869  1.3586e-05 -4.4241e-05  0.00011741
      0.06      0.11    0.021202  1.2742e-05 -0.00012899  5.0719e-05
      0.06      0.12     0.02479  1.1006e-05 -0.00022209 -4.2842e-05
      0.06      0.13    0.028669  8.2999e-06 -0.00032267 -0.00016553
      0.06      0.14    0.032876  4.5527e-06 -0.00042999 -0.00031944
      0.06      0.15    0.037445 -2.9994e-07 -0.00054347 -0.00050647
      0.06      0.16    0.042406 -6.3167e-06  -0.0006626 -0.00072841
      0.06      0.17    0.047787 -1.3552e-05 -0.00078701 -0.00098693
      0.06      0.18    0.053614 -2.2057e-05 -0.00091635  -0.0012836
      0.06      0.19    0.059911 -3.1879e-05  -0.0010504  -0.0016198
      0.06       0.2    0.066699 -4.3065e-05  -0.0011889  -0.0019971
      0.06      0.21    0.073999 -5.5657e-05  -0.0013317  -0.0024166
      0.06      0.22    0.081829 -6.9699e-05  -0.0014787  -0.0028798
      0.06      0.23    0.090206 -8.5232e-05  -0.0016298  -0.0033879
      0.06      0.24    0.099146  -0.0001023  -0.0017849   -0.003942
      0.06      0.25     0.10866 -0.00012093   -0.001944  -0.0045433
      0.08      0.01   -0.010343  7.6467e-07  0.00012912  9.3156e-06
      0.08      0.02   -0.005684  2.5823e-06  0.00021358  2.9023e-05
      0.08      0.03  -0.0012515  5.0363e-06  0.00025886  5.2128e-05
      0.08      0.04   0.0030091  7.7595e-06  0.00026955   7.261e-05
      0.08      0.05   0.0071467  1.0427e-05  0.00024968  8.5191e-05
      0.08      0.06    0.011207  1.2753e-05  0.00020275  8.5167e-05
      0.08      0.07    0.015236  1.4482e-05  0.00013188  6.8283e-05
      0.08      0.08    0.019275  1.5391e-05  3.9773e-05  3.0656e-05
      0.08      0.09    0.023368  1.5278e-05 -7.1185e-05 -3.1281e-05
      0.08       0.1    0.027555  1.3967e-05 -0.00019894 -0.00012081
      0.08      0.11    0.031875  1.1299e-05 -0.00034174 -0.00024098
      0.08      0.12    0.036365  7.1321e-06 -0.00049806 -0.00039461
      0.08      0.13     0.04106  1.3378e-06 -0.00066664  -0.0005843
      0.08      0.14    0.045992 -6.2007e-06 -0.00084639 -0.00081249
      0.08      0.15     0.05119  -1.559e-05  -0.0010364  -0.0010815
      0.08      0.16    0.056682 -2.6929e-05  -0.0012359  -0.0013933
      0.08      0.17    0.062493 -4.0309e-05  -0.0014444  -0.0017501
      0.08      0.18    0.068646 -5.5816e-05  -0.0016611  -0.0021536
      0.08      0.19    0.075162 -7.3531e-05  -0.0018858  -0.0026057
      0.08       0.2     0.08206 -9.3531e-05   -0.002118   -0.003108
      0.08      0.21    0.089357 -0.00011589  -0.0023574  -0.0036622
      0.08      0.22    0.097068 -0.00014068  -0.0026039  -0.0042698
      0.08      0.23     0.10521 -0.00016797  -0.0028572  -0.0049323
      0.08      0.24     0.11379 -0.00019782   -0.003117  -0.0056511
      0.08      0.25     0.12281 -0.00023031  -0.0033834  -0.0064276
       0.1      0.01   -0.011765  9.1355e-07  0.00015135   5.098e-06
       0.1      0.02  -0.0056421   3.027e-06  0.00024386  1.3625e-05
       0.1      0.03   0.0001694  5.7908e-06  0.00028466  1.9457e-05
       0.1      0.04   0.0057327  8.7203e-06  0.00027978  1.7061e-05
       0.1      0.05    0.011104  1.1386e-05  0.00023436  1.4089e-06
       0.1      0.06    0.016332  1.3407e-05  0.00015286 -3.2096e-05
       0.1      0.07    0.021466  1.4443e-05  3.9144e-05  -8.769e-05
       0.1      0.08    0.026547   1.419e-05  -0.0001034  -0.0001693
       0.1      0.09    0.031616  1.2375e-05 -0.00027185 -0.00028057
       0.1       0.1    0.036713  8.7533e-06 -0.00046365 -0.00042493
       0.1      0.11    0.041871  3.1024e-06 -0.00067658 -0.00060556
       0.1      0.12    0.047126 -4.7782e-06 -0.00090872 -0.00082546
       0.1      0.13    0.052507 -1.5072e-05  -0.0011584  -0.0010874
       0.1      0.14    0.058044 -2.7947e-05  -0.0014243  -0.0013941
       0.1      0.15    0.063763 -4.3558e-05  -0.0017051   -0.001748
       0.1      0.16    0.069689  -6.205e-05  -0.0019998  -0.0021515
       0.1      0.17    0.075842 -8.3555e-05  -0.0023076  -0.0026067
       0.1      0.18    0.082244  -0.0001082  -0.0026276  -0.0031157
       0.1      0.19    0.088912 -0.00013611  -0.0029592  -0.0036806
       0.1       0.2    0.095862 -0.00016739   -0.003302  -0.0043032
       0.1      0.21     0.10311 -0.00020215  -0.0036553  -0.0049853
       0.1      0.22     0.11067 -0.00024049  -0.0040189  -0.0057287
       0.1      0.23     0.11854 -0.00028252  -0.0043924  -0.0065348
       0.1      0.24     0.12675 -0.00032834  -0.0047755  -0.0074055
       0.1      0.25     0.13528 -0.00037803   -0.005168   -0.008342
      0.12      0.01   -0.011651  9.6859e-07  0.00015637  2.4554e-07
      0.12      0.02  -0.0043542  3.1273e-06   0.0002423 -4.2955e-06
      0.12      0.03   0.0025861  5.8146e-06  0.00026573 -1.8676e-05
      0.12      0.04   0.0092308  8.4419e-06  0.00023346 -4.7685e-05
      0.12      0.05    0.015635  1.0484e-05  0.00015137 -9.5839e-05
      0.12      0.06    0.021847  1.1469e-05  2.4555e-05  -0.0001674
      0.12      0.07    0.027912  1.0975e-05 -0.00014253 -0.00026637
      0.12      0.08    0.033872  8.6187e-06   -0.000346 -0.00039655
      0.12      0.09    0.039766  4.0549e-06 -0.00058245 -0.00056152
      0.12       0.1    0.045627 -3.0304e-06 -0.00084892 -0.00076468
      0.12      0.11     0.05149 -1.2923e-05  -0.0011428  -0.0010092
      0.12      0.12    0.057384 -2.5886e-05  -0.0014618  -0.0012982
      0.12      0.13    0.063337  -4.216e-05   -0.001804  -0.0016345
      0.12      0.14    0.069375 -6.1966e-05  -0.0021676  -0.0020208
      0.12      0.15     0.07552 -8.5511e-05  -0.0025511  -0.0024597
      0.12      0.16    0.081793 -0.00011299  -0.0029532  -0.0029537
      0.12      0.17    0.088215 -0.00014458  -0.0033729  -0.0035051
      0.12      0.18    0.094801 -0.00018045   -0.003809  -0.0041161
      0.12      0.19     0.10157 -0.00022076  -0.0042607  -0.0047887
      0.12       0.2     0.10852 -0.00026566  -0.0047274   -0.005525
      0.12      0.21     0.11569  -0.0003153  -0.0052083  -0.0063268
      0.12      0.22     0.12307 -0.00036983  -0.0057029   -0.007196
      0.12      0.23     0.13067 -0.00042936  -0.0062108  -0.0081342
      0.12      0.24      0.1385 -0.00049404  -0.0067314  -0.0091431
      0.12      0.25     0.14655 -0.00056399  -0.0072645   -0.010224
      0.14      0.01  -0.0098369  9.2337e-07  0.00014276 -4.7389e-06
      0.14      0.02   -0.001637  2.8552e-06  0.00020602 -2.2908e-05
      0.14      0.03   0.0061909  5.0438e-06  0.00019789 -5.8511e-05
      0.14      0.04    0.013701  6.8129e-06  0.00012545 -0.00011553
      0.14      0.05    0.020941  7.5528e-06 -5.0641e-06 -0.00019785
      0.14      0.06    0.027957  6.7116e-06 -0.00018821 -0.00030927
      0.14      0.07    0.034789  3.7887e-06 -0.00041917 -0.00045346
      0.14      0.08    0.041476 -1.6717e-06 -0.00069371 -0.00063394
      0.14      0.09    0.048052 -1.0086e-05  -0.0010081  -0.0008541
      0.14       0.1    0.054548 -2.1834e-05   -0.001359  -0.0011172
      0.14      0.11    0.060994 -3.7266e-05  -0.0017436  -0.0014264
      0.14      0.12    0.067416 -5.6706e-05  -0.0021592  -0.0017846
      0.14      0.13    0.073839 -8.0451e-05  -0.0026036  -0.0021947
      0.14      0.14    0.080285 -0.00010878  -0.0030748  -0.0026594
      0.14      0.15    0.086773 -0.00014195   -0.003571  -0.0031813
      0.14      0.16    0.093323  -0.0001802  -0.0040906  -0.0037628
      0.14      0.17    0.099949 -0.00022376  -0.0046323  -0.0044063
      0.14      0.18     0.10667 -0.00027284  -0.0051948  -0.0051139
      0.14      0.19     0.11349 -0.00032766  -0.0057771  -0.0058879
      0.14       0.2     0.12042 -0.00038839  -0.0063782  -0.0067302
      0.14      0.21     0.12748 -0.00045522  -0.0069973  -0.0076427
      0.14      0.22     0.13466 -0.00052833  -0.0076337  -0.0086272
      0.14      0.23     0.14199 -0.00060789  -0.0082866  -0.0096854
      0.14      0.24     0.14945 -0.00069407  -0.0089556   -0.010819
      0.14      0.25     0.15704 -0.00078701    -0.00964   -0.012029
      0.16      0.01  -0.0062957  7.7903e-07  0.00011055 -9.5538e-06
      0.16      0.02   0.0025742   2.211e-06  0.00013475 -4.1066e-05
      0.16      0.03    0.011077  3.4741e-06  8.0492e-05 -9.7611e-05
      0.16      0.04    0.019257  3.8209e-06 -4.5218e-05  -0.0001824
      0.16      0.05    0.027157  2.5698e-06 -0.00023612 -0.00029869
      0.16      0.06    0.034814 -9.0163e-07 -0.00048666 -0.00044977
      0.16      0.07    0.042264 -7.1634e-06 -0.00079186 -0.00063888
      0.16      0.08    0.049539 -1.6739e-05  -0.0011473 -0.00086923
      0.16      0.09    0.056669 -3.0109e-05   -0.001549  -0.0011439
      0.16       0.1    0.063683 -4.7719e-05  -0.0019935  -0.0014661
      0.16      0.11    0.070604 -6.9979e-05  -0.0024776  -0.0018385
      0.16      0.12    0.077457  -9.727e-05  -0.0029984  -0.0022642
      0.16      0.13    0.084261 -0.00012995  -0.0035536  -0.0027458
      0.16      0.14    0.091036 -0.00016834  -0.0041407  -0.0032859
      0.16      0.15    0.097798 -0.00021276  -0.0047579   -0.003887
      0.16      0.16     0.10456  -0.0002635  -0.0054032  -0.0045516
      0.16      0.17     0.11134 -0.00032083  -0.0060752  -0.0052819
      0.16      0.18     0.11815   -0.000385  -0.0067723    -0.00608
      0.16      0.19     0.12499 -0.00045627  -0.0074933  -0.0069481
      0.16       0.2     0.13187 -0.00053487   -0.008237  -0.0078881
      0.16      0.21     0.13881 -0.00062101  -0.0090023  -0.0089018
      0.16      0.22     0.14581 -0.00071491  -0.0097883  -0.0099909
      0.16      0.23     0.15286 -0.00081678   -0.010594   -0.011157
      0.16      0.24     0.15998  -0.0009268   -0.011419   -0.012402
      0.16      0.25     0.16713  -0.0010452   -0.012263   -0.013727
      0.18      0.01  -0.0010879  5.4122e-07  6.0629e-05 -1.4026e-05
      0.18      0.02   0.0082622  1.2126e-06  2.9905e-05 -5.8083e-05
      0.18      0.03    0.017263  1.1393e-06 -8.4774e-05 -0.00013447
      0.18      0.04     0.02595  -4.829e-07  -0.0002767 -0.00024573
      0.18      0.05    0.034357 -4.3947e-06  -0.0005398 -0.00039454
      0.18      0.06    0.042514 -1.1279e-05 -0.00086859 -0.00058368
      0.18      0.07    0.050451 -2.1767e-05  -0.0012581 -0.00081597
      0.18      0.08    0.058194 -3.6441e-05  -0.0017038  -0.0010943
      0.18      0.09     0.06577 -5.5843e-05  -0.0022018  -0.0014214
      0.18       0.1    0.073199 -8.0476e-05  -0.0027482     -0.0018
      0.18      0.11    0.080504 -0.00011081  -0.0033398   -0.002233
      0.18      0.12    0.087703 -0.00014727  -0.0039737   -0.002723
      0.18      0.13    0.094813 -0.00019028   -0.004647  -0.0032724
      0.18      0.14     0.10185 -0.00024021  -0.0053573  -0.0038838
      0.18      0.15     0.10883 -0.00029743  -0.0061024  -0.0045595
      0.18      0.16     0.11575 -0.00036226  -0.0068804  -0.0053019
      0.18      0.17     0.12264 -0.00043503  -0.0076892   -0.006113
      0.18      0.18     0.12951 -0.00051605  -0.0085273  -0.0069948
      0.18      0.19     0.13634 -0.00060558  -0.0093932  -0.0079495
      0.18       0.2     0.14317 -0.00070391   -0.010286  -0.0089786
      0.18      0.21     0.14998 -0.00081129   -0.011203   -0.010084
      0.18      0.22     0.15678 -0.00092797   -0.012144   -0.011267
      0.18      0.23     0.16358  -0.0010542   -0.013109    -0.01253
      0.18      0.24     0.17037  -0.0011901   -0.014095   -0.013874
      0.18      0.25     0.17712  -0.0013361   -0.015103     -0.0153
       0.2      0.01   0.0056739  2.1801e-07 -5.6158e-06 -1.8066e-05
       0.2      0.02    0.015357 -1.1232e-07 -0.00010614 -7.3591e-05
       0.2      0.03    0.024716 -1.9049e-06 -0.00029481 -0.00016827
       0.2      0.04    0.033778 -6.0084e-06 -0.00056535 -0.00030407
       0.2      0.05    0.042568 -1.3212e-05 -0.00091202 -0.00048318
       0.2      0.06    0.051109 -2.4249e-05  -0.0013295 -0.00070792
       0.2      0.07    0.059425 -3.9802e-05   -0.001813 -0.00098071
       0.2      0.08    0.067537 -6.0509e-05  -0.0023581   -0.001304
       0.2      0.09    0.075465 -8.6964e-05  -0.0029606  -0.0016804
       0.2       0.1    0.083225 -0.00011972  -0.0036168  -0.0021122
       0.2      0.11    0.090835  -0.0001593  -0.0043234  -0.0026021
       0.2      0.12     0.09831 -0.00020619  -0.0050772  -0.0031523
       0.2      0.13     0.10566 -0.00026084  -0.0058752  -0.0037652
       0.2      0.14     0.11291 -0.00032369   -0.006715  -0.0044431
       0.2      0.15     0.12005 -0.00039514   -0.007594  -0.0051882
       0.2      0.16      0.1271 -0.00047557  -0.0085101  -0.0060025
       0.2      0.17     0.13407 -0.00056534  -0.0094611  -0.0068881
       0.2      0.18     0.14096  -0.0006648   -0.010445  -0.0078468
       0.2      0.19     0.14778 -0.00077425   -0.011461  -0.0088804
       0.2       0.2     0.15453 -0.00089401   -0.012506  -0.0099906
       0.2      0.21     0.16121  -0.0010244    -0.01358   -0.011179
       0.2      0.22     0.16783  -0.0011656   -0.014681   -0.012447
       0.2      0.23     0.17439   -0.001318   -0.015807   -0.013795
       0.2      0.24     0.18088  -0.0014818   -0.016958   -0.015226
       0.2      0.25     0.18727  -0.0016571   -0.018132    -0.01674
      0.22      0.01     0.01385 -1.8141e-07 -8.6553e-05 -2.1643e-05
      0.22      0.02    0.023757 -1.7311e-06  -0.0002705 -8.7441e-05
      0.22      0.03     0.03337 -5.5914e-06 -0.00054573 -0.00019863
      0.22      0.04    0.042706 -1.2646e-05 -0.00090652 -0.00035675
      0.22      0.05    0.051782 -2.3722e-05  -0.0013475 -0.00056355
      0.22      0.06    0.060617 -3.9596e-05  -0.0018637 -0.00082098
      0.22      0.07    0.069227 -6.0995e-05  -0.0024503  -0.0011311
      0.22      0.08    0.077627 -8.8602e-05  -0.0031032   -0.001496
      0.22      0.09    0.085832 -0.00012306  -0.0038182   -0.001918
      0.22       0.1    0.093855 -0.00016497  -0.0045916  -0.0023991
      0.22      0.11     0.10171 -0.00021489  -0.0054199  -0.0029416
      0.22      0.12      0.1094 -0.00027336  -0.0062999  -0.0035477
      0.22      0.13     0.11695 -0.00034089  -0.0072287  -0.0042194
      0.22      0.14     0.12435 -0.00041794  -0.0082033  -0.0049588
      0.22      0.15     0.13162 -0.00050496  -0.0092213  -0.0057678
      0.22      0.16     0.13877 -0.00060236    -0.01028  -0.0066484
      0.22      0.17     0.14579 -0.00071056   -0.011378  -0.0076022
      0.22      0.18     0.15269 -0.00082992   -0.012512  -0.0086311
      0.22      0.19     0.15948  -0.0009608   -0.013681  -0.0097365
      0.22       0.2     0.16615  -0.0011035   -0.014882    -0.01092
      0.22      0.21     0.17271  -0.0012584   -0.016115   -0.012183
      0.22      0.22     0.17916  -0.0014258   -0.017378   -0.013526
      0.22      0.23     0.18549   -0.001606   -0.018668   -0.014951
      0.22      0.24      0.1917  -0.0017992   -0.019985   -0.016459
      0.22      0.25     0.19775  -0.0020057   -0.021328   -0.018051
      0.24      0.01     0.02329 -6.4773e-07  -0.0001805 -2.4767e-05
      0.24      0.02    0.033348 -3.6099e-06 -0.00046012 -9.9637e-05
      0.24      0.03     0.04314 -9.8501e-06 -0.00083341 -0.00022553
      0.24      0.04    0.052678 -2.0278e-05  -0.0012952 -0.00040366
      0.24      0.05    0.061971 -3.5754e-05  -0.0018405 -0.00063545
      0.24      0.06    0.071031 -5.7088e-05  -0.0024646 -0.00092253
      0.24      0.07     0.07987 -8.5046e-05  -0.0031631  -0.0012666
      0.24      0.08    0.088497 -0.00012035  -0.0039318  -0.0016696
      0.24      0.09    0.096921 -0.00016368  -0.0047667  -0.0021333
      0.24       0.1     0.10515 -0.00021568  -0.0056642  -0.0026597
      0.24      0.11      0.1132 -0.00027697  -0.0066206  -0.0032507
      0.24      0.12     0.12107  -0.0003481  -0.0076327  -0.0039081
      0.24      0.13     0.12877 -0.00042962  -0.0086974  -0.0046339
      0.24      0.14      0.1363 -0.00052205  -0.0098118  -0.0054298
      0.24      0.15     0.14367 -0.00062586   -0.010973  -0.0062976
      0.24      0.16     0.15088 -0.00074151   -0.012179  -0.0072388
      0.24      0.17     0.15793 -0.00086943   -0.013427  -0.0082551
      0.24      0.18     0.16484    -0.00101   -0.014714  -0.0093479
      0.24      0.19     0.17158  -0.0011637   -0.016038   -0.010518
      0.24       0.2     0.17818  -0.0013308   -0.017399   -0.011768
      0.24      0.21     0.18462  -0.0015117   -0.018792   -0.013098
      0.24      0.22      0.1909  -0.0017067   -0.020218   -0.014509
      0.24      0.23     0.19702   -0.001916   -0.021673   -0.016002
      0.24      0.24     0.20298  -0.0021401   -0.023157   -0.017578
      0.24      0.25     0.20872  -0.0023792   -0.024667   -0.019238
      0.26      0.01    0.033849 -1.1721e-06 -0.00028583  -2.747e-05
      0.26      0.02    0.044013 -5.7165e-06 -0.00067203 -0.00011029
      0.26      0.03    0.053937 -1.4613e-05  -0.0011538 -0.00024917
      0.26      0.04    0.063627 -2.8792e-05  -0.0017264 -0.00044511
      0.26      0.05    0.073089  -4.914e-05  -0.0023852 -0.00069929
      0.26      0.06    0.082327 -7.6497e-05   -0.003126  -0.0010131
      0.26      0.07    0.091348 -0.00011166  -0.0039445  -0.0013879
      0.26      0.08     0.10016 -0.00015539  -0.0048365  -0.0018255
      0.26      0.09     0.10876 -0.00020839  -0.0057984  -0.0023273
      0.26       0.1     0.11716 -0.00027135  -0.0068263   -0.002895
      0.26      0.11     0.12537 -0.00034492  -0.0079168  -0.0035304
      0.26      0.12     0.13338 -0.00042969  -0.0090664   -0.004235
      0.26      0.13      0.1412 -0.00052625   -0.010272  -0.0050104
      0.26      0.14     0.14883 -0.00063513   -0.011531  -0.0058582
      0.26      0.15     0.15628 -0.00075686   -0.012839  -0.0067799
      0.26      0.16     0.16354 -0.00089192   -0.014195  -0.0077768
      0.26      0.17     0.17061  -0.0010408   -0.015596  -0.0088502
      0.26      0.18      0.1775  -0.0012038   -0.017039   -0.010001
      0.26      0.19      0.1842  -0.0013815   -0.018521   -0.011231
      0.26       0.2     0.19072  -0.0015743   -0.020041   -0.012541
      0.26      0.21     0.19704  -0.0017824   -0.021597   -0.013932
      0.26      0.22     0.20317  -0.0020062   -0.023186   -0.015404
      0.26      0.23     0.20909  -0.0022461   -0.024806   -0.016958
      0.26      0.24     0.21482  -0.0025023   -0.026456   -0.018595
      0.26      0.25     0.22028  -0.0027752   -0.028133   -0.020314
      0.28      0.01    0.045392 -1.7465e-06 -0.00040107 -2.9804e-05
      0.28      0.02    0.055639 -8.0214e-06 -0.00090352 -0.00011957
      0.28      0.03    0.065671 -1.9817e-05  -0.0015031 -0.00026991
      0.28      0.04    0.075487 -3.8083e-05  -0.0021954 -0.00048168
      0.28      0.05    0.085087 -6.3726e-05  -0.0029764 -0.00075589
      0.28      0.06    0.094474 -9.7611e-05  -0.0038419  -0.0010937
      0.28      0.07     0.10365 -0.00014056  -0.0047879  -0.0014964
