         x         y           v           s          Vx          Vy
         0         0           0           0           0           0
         0         2           0           0           0           1
         1         0           0           0           0           0
         1         2           0           0           0           0
    0.0125     0.025   1.815e-05 -1.3128e-08  -3.305e-07  -1.261e-06
    0.0125      0.05 -8.6665e-05 -1.6525e-08  2.7314e-07 -9.8487e-07
    0.0125     0.075 -0.00036931  5.2922e-10  1.1074e-06  2.1379e-06
    0.0125       0.1  -0.0008607  3.8845e-08    1.92e-06  8.2934e-06
    0.0125     0.125  -0.0015568  9.6529e-08  2.6471e-06  1.7282e-05
    0.0125      0.15  -0.0024407   1.712e-07  3.2823e-06  2.8803e-05
    0.0125     0.175  -0.0034928  2.6064e-07  3.8352e-06  4.2552e-05
    0.0125       0.2  -0.0046938  3.6296e-07  4.3189e-06   5.826e-05
    0.0125     0.225  -0.0060267  4.7659e-07  4.7452e-06  7.5694e-05
    0.0125      0.25  -0.0074763  6.0022e-07  5.1237e-06  9.4655e-05
    0.0125     0.275  -0.0090291  7.3277e-07  5.4612e-06  0.00011497
    0.0125       0.3   -0.010673  8.7328e-07  5.7614e-06   0.0001365
    0.0125     0.325   -0.012395  1.0208e-06  6.0254e-06  0.00015907
    0.0125      0.35   -0.014183  1.1746e-06  6.2514e-06  0.00018255
    0.0125     0.375   -0.016023  1.3334e-06  6.4347e-06  0.00020677
    0.0125       0.4   -0.017898  1.4963e-06  6.5676e-06  0.00023154
    0.0125     0.425   -0.019791  1.6618e-06  6.6392e-06  0.00025663
    0.0125      0.45   -0.021678  1.8282e-06  6.6352e-06  0.00028176
    0.0125     0.475   -0.023531  1.9936e-06   6.537e-06  0.00030659
    0.0125       0.5   -0.025316  2.1551e-06  6.3195e-06  0.00033071
     0.025     0.025  -0.0001115 -3.1525e-08 -4.9243e-07 -1.1591e-06
     0.025      0.05 -0.00034039 -2.4622e-08  1.6995e-06  7.6806e-07
     0.025     0.075 -0.00067965  5.3448e-08  4.6391e-06  7.7232e-06
     0.025       0.1   -0.001173  2.0733e-07  7.5722e-06  2.0102e-05
     0.025     0.125  -0.0018309  4.3206e-07  1.0255e-05  3.7653e-05
     0.025      0.15   -0.002648  7.2007e-07  1.2635e-05  5.9902e-05
     0.025     0.175  -0.0036119  1.0638e-06  1.4729e-05  8.6338e-05
     0.025       0.2  -0.0047085  1.4565e-06  1.6571e-05  0.00011648
     0.025     0.225  -0.0059235  1.8923e-06  1.8198e-05   0.0001499
     0.025      0.25  -0.0072435  2.3664e-06   1.964e-05  0.00018623
     0.025     0.275  -0.0086555  2.8744e-06   2.092e-05  0.00022512
     0.025       0.3   -0.010147  3.4124e-06  2.2049e-05  0.00026628
     0.025     0.325   -0.011705  3.9768e-06  2.3029e-05  0.00030941
     0.025      0.35   -0.013317  4.5639e-06   2.385e-05  0.00035419
     0.025     0.375   -0.014967  5.1693e-06  2.4494e-05  0.00040028
     0.025       0.4   -0.016639  5.7885e-06  2.4928e-05  0.00044729
     0.025     0.425   -0.018312  6.4157e-06  2.5109e-05  0.00049475
     0.025      0.45   -0.019962   7.044e-06  2.4982e-05   0.0005421
     0.025     0.475    -0.02156  7.6648e-06  2.4473e-05  0.00058863
     0.025       0.5   -0.023073  8.2677e-06  2.3492e-05  0.00063352
    0.0375     0.025 -0.00023702 -4.2106e-08  5.3527e-08 -2.3404e-07
    0.0375      0.05 -0.00056651  2.6763e-09  4.7143e-06   4.263e-06
    0.0375     0.075 -0.00095144  1.9361e-07  1.0774e-05  1.5591e-05
    0.0375       0.1   -0.001444  5.4139e-07  1.6885e-05  3.4263e-05
    0.0375     0.125  -0.0020652  1.0378e-06  2.2547e-05  6.0026e-05
    0.0375      0.15  -0.0028183  1.6688e-06  2.7625e-05  9.2315e-05
    0.0375     0.175  -0.0036976  2.4191e-06  3.2124e-05  0.00013048
    0.0375       0.2  -0.0046932  3.2749e-06    3.61e-05  0.00017388
    0.0375     0.225  -0.0057937  4.2241e-06  3.9618e-05  0.00022192
    0.0375      0.25  -0.0069872  5.2559e-06  4.2735e-05   0.0002741
    0.0375     0.275  -0.0082614  6.3608e-06  4.5491e-05  0.00032991
    0.0375       0.3  -0.0096039  7.5304e-06  4.7906e-05   0.0003889
    0.0375     0.325   -0.011002  8.7561e-06  4.9979e-05  0.00045063
    0.0375      0.35   -0.012441  1.0029e-05  5.1687e-05  0.00051461
    0.0375     0.375   -0.013905   1.134e-05  5.2985e-05  0.00058033
    0.0375       0.4   -0.015377  1.2679e-05  5.3802e-05  0.00064717
    0.0375     0.425   -0.016836  1.4031e-05  5.4041e-05  0.00071443
    0.0375      0.45   -0.018256  1.5381e-05  5.3576e-05  0.00078125
    0.0375     0.475   -0.019609  1.6709e-05   5.225e-05  0.00084658
    0.0375       0.5    -0.02086  1.7993e-05  4.9868e-05  0.00090915
      0.05     0.025 -0.00037309 -3.7375e-08  1.6391e-06  1.1432e-06
      0.05      0.05 -0.00077874  8.1954e-08  9.6119e-06    8.79e-06
      0.05     0.075  -0.0011963  4.4322e-07  1.9639e-05  2.4851e-05
      0.05       0.1  -0.0016828  1.0639e-06   2.979e-05  4.9838e-05
      0.05     0.125  -0.0022664  1.9327e-06  3.9281e-05   8.349e-05
      0.05      0.15  -0.0029569  3.0279e-06  4.7861e-05  0.00012519
      0.05     0.175  -0.0037539  4.3257e-06  5.5509e-05   0.0001742
      0.05       0.2  -0.0046513  5.8034e-06  6.2294e-05  0.00022975
      0.05     0.225  -0.0056402  7.4404e-06  6.8308e-05  0.00029115
      0.05      0.25    -0.00671  9.2188e-06  7.3632e-05  0.00035772
      0.05     0.275  -0.0078494  1.1122e-05  7.8324e-05  0.00042886
      0.05       0.3   -0.009046  1.3135e-05  8.2411e-05  0.00050396
      0.05     0.325   -0.010287  1.5243e-05  8.5885e-05  0.00058242
      0.05      0.35   -0.011557  1.7429e-05  8.8701e-05   0.0006636
      0.05     0.375    -0.01284  1.9678e-05  9.0774e-05   0.0007468
      0.05       0.4   -0.014118  2.1968e-05  9.1979e-05   0.0008312
      0.05     0.425   -0.015368  2.4277e-05  9.2145e-05  0.00091583
      0.05      0.45   -0.016566  2.6575e-05  9.1053e-05  0.00099955
      0.05     0.475   -0.017682  2.8829e-05  8.8427e-05    0.001081
      0.05       0.5    -0.01868  3.0997e-05  8.3935e-05   0.0011584
    0.0625     0.025 -0.00053091 -1.3525e-08  4.4485e-06  2.7314e-06
    0.0625      0.05 -0.00098796  2.2243e-07  1.6568e-05  1.3847e-05
    0.0625     0.075  -0.0014238   8.149e-07  3.1298e-05  3.4833e-05
    0.0625       0.1  -0.0018973  1.7873e-06  4.6204e-05  6.6079e-05
    0.0625     0.125  -0.0024407  3.1251e-06  6.0224e-05  0.00010729
    0.0625      0.15  -0.0030687  4.7985e-06  7.2977e-05   0.0001578
    0.0625     0.175  -0.0037848   6.774e-06  8.4404e-05  0.00021682
    0.0625       0.2  -0.0045862  9.0187e-06  9.4576e-05   0.0002835
    0.0625     0.225  -0.0054659  1.1503e-05   0.0001036  0.00035703
    0.0625      0.25  -0.0064148  1.4199e-05  0.00011159  0.00043663
    0.0625     0.275  -0.0074223  1.7082e-05  0.00011861  0.00052157
    0.0625       0.3  -0.0084762  2.0129e-05  0.00012469  0.00061112
    0.0625     0.325  -0.0095633  2.3317e-05   0.0001298  0.00070453
    0.0625      0.35   -0.010668  2.6619e-05  0.00013388  0.00080101
    0.0625     0.375   -0.011775  3.0011e-05  0.00013678  0.00089966
    0.0625       0.4   -0.012864  3.3459e-05  0.00013832  0.00099945
    0.0625     0.425   -0.013912  3.6926e-05  0.00013822   0.0010992
    0.0625      0.45   -0.014895  4.0369e-05  0.00013614   0.0011974
    0.0625     0.475   -0.015781  4.3733e-05  0.00013168   0.0012924
    0.0625       0.5   -0.016538  4.6953e-05  0.00012432   0.0013821
     0.075     0.025 -0.00071799  3.0911e-08  8.5627e-06  4.3792e-06
     0.075      0.05  -0.0012024  4.2814e-07  2.5663e-05  1.9085e-05
     0.075     0.075  -0.0016418   1.314e-06  4.5755e-05  4.5034e-05
     0.075       0.1  -0.0020941  2.7159e-06  6.6018e-05    8.24e-05
     0.075     0.125  -0.0025937  4.6149e-06  8.5144e-05  0.00013081
     0.075      0.15  -0.0031582  6.9731e-06  0.00010263  0.00018955
     0.075     0.175  -0.0037942  9.7463e-06  0.00011836  0.00025778
     0.075       0.2   -0.004501  1.2891e-05   0.0001324  0.00033459
     0.075     0.225  -0.0052738  1.6366e-05  0.00014487   0.0004191
     0.075      0.25  -0.0061044  2.0135e-05   0.0001559  0.00051042
     0.075     0.275  -0.0069828  2.4161e-05  0.00016557  0.00060772
