         x         y           v           s          Vx          Vy
         0         0           0           0           0           0
         0         1           0           0           0           1
         1         0           0           0           0           0
         1         1           0           0           0           0
  0.016667  0.016667    0.004105 -1.3036e-07 -2.4971e-05  -2.488e-05
  0.016667  0.033333   0.0072772 -8.3236e-07 -5.4132e-05 -9.8573e-05
  0.016667      0.05    0.011313 -1.9348e-06 -7.1684e-05 -0.00020482
  0.016667  0.066667    0.015935 -3.2218e-06 -7.7628e-05  -0.0003257
  0.016667  0.083333    0.020585 -4.5224e-06 -7.4843e-05 -0.00044607
  0.016667       0.1    0.024718 -5.7166e-06 -6.6147e-05 -0.00055449
  0.016667   0.11667    0.027887 -6.7273e-06 -5.3784e-05 -0.00064289
  0.016667   0.13333    0.029747 -7.5094e-06 -3.9403e-05 -0.00070597
  0.016667      0.15    0.030035 -8.0407e-06 -2.4121e-05  -0.0007405
  0.016667   0.16667    0.028548 -8.3134e-06 -8.5622e-06  -0.0007445
  0.016667   0.18333    0.025104 -8.3261e-06  7.0931e-06 -0.00071662
  0.016667       0.2    0.019521  -8.077e-06  2.3061e-05 -0.00065541
  0.016667   0.21667    0.011592 -7.5574e-06  3.9886e-05 -0.00055876
  0.016667   0.23333   0.0010617 -6.7474e-06  5.8371e-05 -0.00042346
  0.016667      0.25   -0.012381 -5.6117e-06  7.9515e-05  -0.0002449
  0.033333  0.016667    0.007268 -8.2935e-07 -9.8573e-05 -5.3694e-05
  0.033333  0.033333   0.0077179 -3.2858e-06 -0.00017994 -0.00017896
  0.033333      0.05   0.0081719 -6.8273e-06 -0.00022713 -0.00034702
  0.033333  0.066667   0.0087611 -1.0857e-05 -0.00024125  -0.0005316
  0.033333  0.083333   0.0092821 -1.4869e-05 -0.00022879 -0.00071012
  0.033333       0.1   0.0094095 -1.8483e-05 -0.00019681 -0.00086441
  0.033333   0.11667    0.008791  -2.143e-05 -0.00015149 -0.00098071
  0.033333   0.13333   0.0070826 -2.3532e-05  -9.761e-05   -0.001049
  0.033333      0.15   0.0039562 -2.4683e-05 -3.8527e-05   -0.001062
  0.033333   0.16667 -0.00090469 -2.4817e-05  2.3876e-05  -0.0010145
  0.033333   0.18333  -0.0078119 -2.3887e-05  8.9093e-05 -0.00090191
  0.033333       0.2   -0.017081 -2.1847e-05  0.00015786 -0.00071929
  0.033333   0.21667   -0.029037 -1.8625e-05  0.00023194 -0.00046075
  0.033333   0.23333   -0.044018 -1.4115e-05  0.00031386 -0.00011853
  0.033333      0.25   -0.062374 -8.1632e-06  0.00040659  0.00031725
      0.05  0.016667    0.011265 -1.9202e-06 -0.00020394 -7.0602e-05
      0.05  0.033333   0.0081558 -6.7979e-06 -0.00034746 -0.00022389
      0.05      0.05   0.0049424 -1.3502e-05 -0.00042432 -0.00041961
      0.05  0.066667   0.0017584 -2.0942e-05 -0.00044072 -0.00062544
      0.05  0.083333  -0.0014871 -2.8193e-05 -0.00040765 -0.00081444
      0.05       0.1  -0.0050192  -3.453e-05 -0.00033674 -0.00096452
      0.05   0.11667  -0.0091414 -3.9417e-05 -0.00023835   -0.001058
      0.05   0.13333   -0.014204 -4.2475e-05 -0.00012073  -0.0010809
      0.05      0.15    -0.02059 -4.3442e-05  1.0308e-05  -0.0010223
      0.05   0.16667   -0.028701 -4.2132e-05  0.00015157 -0.00087266
      0.05   0.18333   -0.038952  -3.839e-05  0.00030234 -0.00062337
      0.05       0.2    -0.05176 -3.2053e-05  0.00046422  -0.0002651
      0.05   0.21667   -0.067531 -2.2916e-05  0.00064065  0.00021295
      0.05   0.23333   -0.086647 -1.0698e-05  0.00083637  0.00082374
      0.05      0.25    -0.10945  4.9632e-06   0.0010567   0.0015826
  0.066667  0.016667    0.015759 -3.1827e-06 -0.00032247 -7.5581e-05
  0.066667  0.033333   0.0086499 -1.0749e-05 -0.00052895 -0.00023416
  0.066667      0.05   0.0016786 -2.0814e-05 -0.00062867 -0.00042797
  0.066667  0.066667  -0.0051392 -3.1705e-05 -0.00063609 -0.00062026
  0.066667  0.083333   -0.011904 -4.2017e-05 -0.00056787 -0.00078115
  0.066667       0.1   -0.018824 -5.0634e-05 -0.00044035 -0.00088596
  0.066667   0.11667   -0.026199 -5.6696e-05 -0.00026789  -0.0009142
  0.066667   0.13333   -0.034401 -5.9563e-05 -6.1881e-05 -0.00084876
  0.066667      0.15   -0.043864 -5.8758e-05  0.00016974  -0.0006749
  0.066667   0.16667   -0.055058 -5.3905e-05  0.00042276 -0.00037917
  0.066667   0.18333   -0.068474 -4.4666e-05  0.00069665    5.17e-05
  0.066667       0.2   -0.084593 -3.0684e-05  0.00099419  0.00063191
  0.066667   0.21667    -0.10385 -1.1527e-05   0.0013208   0.0013774
  0.066667   0.23333    -0.12662  1.3343e-05   0.0016835   0.0023062
  0.066667      0.25    -0.15315  4.4591e-05   0.0020901   0.0034387
  0.083333  0.016667    0.020107 -4.4395e-06  -0.0004381 -7.1243e-05
  0.083333  0.033333   0.0089028 -1.4603e-05 -0.00069985 -0.00021542
  0.083333      0.05  -0.0017961 -2.7768e-05 -0.00081042 -0.00038171
  0.083333  0.066667     -0.0121 -4.1617e-05  -0.0007939 -0.00053099
  0.083333  0.083333   -0.022165 -5.4231e-05 -0.00067335 -0.00063162
  0.083333       0.1   -0.032228 -6.4062e-05 -0.00046979 -0.00065722
  0.083333   0.11667   -0.042612 -6.9891e-05 -0.00020115 -0.00058519
  0.083333   0.13333   -0.053725 -7.0767e-05  0.00011857  -0.0003957
  0.083333      0.15   -0.066044 -6.5939e-05   0.0004799 -7.0628e-05
  0.083333   0.16667   -0.080094 -5.4771e-05  0.00087817  0.00040743
  0.083333   0.18333   -0.096405 -3.6666e-05   0.0013134   0.0010562
  0.083333       0.2    -0.11548  -1.099e-05   0.0017899   0.0018946
  0.083333   0.21667    -0.13771  2.2997e-05    0.002315   0.0029433
  0.083333   0.23333    -0.16337  6.6176e-05   0.0028977   0.0042245
  0.083333      0.25    -0.19252  0.00011959   0.0035471   0.0057617
       0.1  0.016667    0.023669 -5.5575e-06 -0.00053789 -5.9883e-05
       0.1  0.033333   0.0085184  -1.793e-05 -0.00083942 -0.00017347
       0.1      0.05  -0.0057387 -3.3538e-05 -0.00094424 -0.00029066
       0.1  0.066667   -0.019317 -4.9404e-05 -0.00088599  -0.0003722
       0.1  0.083333   -0.032438 -6.3071e-05  -0.0006941 -0.00038601
       0.1       0.1   -0.045384 -7.2541e-05 -0.00039392 -0.00030477
       0.1   0.11667   -0.058514 -7.6202e-05 -6.3641e-06 -0.00010434
       0.1   0.13333   -0.072274 -7.2753e-05  0.00045268   0.0002374
       0.1      0.15   -0.087175 -6.1113e-05  0.00097286  0.00074158
       0.1   0.16667    -0.10377 -4.0324e-05   0.0015496   0.0014292
       0.1   0.18333    -0.12258 -9.4595e-06   0.0021838   0.0023219
       0.1       0.2    -0.14406   3.247e-05   0.0028812   0.0034427
       0.1   0.21667    -0.16851  8.6582e-05   0.0036507   0.0048153
       0.1   0.23333    -0.19597  0.00015416    0.004502   0.0064646
       0.1      0.25    -0.22619  0.00023665   0.0054438   0.0084142
   0.11667  0.016667    0.025905 -6.4356e-06 -0.00061157 -4.3131e-05
   0.11667  0.033333   0.0071304 -2.0386e-05 -0.00093063 -0.00011315
   0.11667      0.05   -0.010387 -3.7457e-05  -0.0010092 -0.00016368
   0.11667  0.066667   -0.026943 -5.4024e-05 -0.00088924 -0.00015746
   0.11667  0.083333   -0.042823 -6.7098e-05 -0.00060591 -6.3303e-05
   0.11667       0.1   -0.058352 -7.4221e-05 -0.00018812  0.00014619
   0.11667   0.11667   -0.073927 -7.3369e-05  0.00034102  0.00049615
   0.11667   0.13333   -0.090018 -6.2854e-05  0.00096449   0.0010105
   0.11667      0.15    -0.10715 -4.1219e-05   0.0016717   0.0017129
   0.11667   0.16667    -0.12586 -7.1305e-06   0.0024585   0.0026273
   0.11667   0.18333    -0.14663  4.0732e-05   0.0033269   0.0037782
   0.11667       0.2    -0.16977  0.00010377   0.0042833   0.0051912
   0.11667   0.21667    -0.19538  0.00018351   0.0053369   0.0068915
   0.11667   0.23333    -0.22319  0.00028166   0.0064965   0.0089029
   0.11667      0.25    -0.25253  0.00040006   0.0077672    0.011246
   0.13333  0.016667     0.02639 -6.9952e-06 -0.00065104 -2.2159e-05
   0.13333  0.033333   0.0044555 -2.1701e-05 -0.00095997 -3.8471e-05
   0.13333      0.05   -0.015906 -3.8994e-05 -0.00098855 -8.7003e-06
   0.13333  0.066667   -0.035057 -5.4653e-05 -0.00078562  0.00010051
   0.13333  0.083333   -0.053332 -6.5181e-05 -0.00039045  0.00031818
   0.13333       0.1   -0.071094 -6.7668e-05  0.00016553  0.00067095
   0.13333   0.11667    -0.08876 -5.9664e-05  0.00085795   0.0011843
   0.13333   0.13333    -0.10681 -3.9069e-05   0.0016694   0.0018833
   0.13333      0.15    -0.12573 -4.0161e-06   0.0025896   0.0027936
   0.13333   0.16667    -0.14602  4.7251e-05   0.0036149   0.0039408
   0.13333   0.18333    -0.16803  0.00011648   0.0047478   0.0053513
   0.13333       0.2    -0.19188  0.00020551   0.0059945   0.0070509
   0.13333   0.21667    -0.21734   0.0003163   0.0073624   0.0090634
   0.13333   0.23333    -0.24377  0.00045092   0.0088562    0.011408
   0.13333      0.25    -0.26997  0.00061151    0.010474    0.014098
      0.15  0.016667    0.024813 -7.1743e-06 -0.00065004  2.0633e-06
      0.15  0.033333  0.00031015 -2.1668e-05 -0.00091718  4.6963e-05
      0.15      0.05   -0.022375 -3.7747e-05 -0.00087017  0.00016675
      0.15  0.066667   -0.043655 -5.0674e-05 -0.00056236  0.00038927
      0.15  0.083333     -0.0639 -5.6492e-05 -3.5473e-05  0.00074023
      0.15       0.1   -0.083491 -5.1856e-05  0.00067797   0.0012446
      0.15   0.11667    -0.10284 -3.3893e-05   0.0015534   0.0019276
      0.15   0.13333     -0.1224 -7.5736e-08   0.0025738   0.0028148
      0.15      0.15     -0.1426    5.19e-05   0.0037292   0.0039326
      0.15   0.16667    -0.16381  0.00012423   0.0050163   0.0053074
      0.15   0.18333    -0.18619  0.00021911   0.0064369   0.0069651
      0.15       0.2     -0.2096  0.00033879   0.0079953   0.0089295
      0.15   0.21667    -0.23344  0.00048562   0.0096944     0.01122
      0.15   0.23333    -0.25658  0.00066194    0.011531    0.013848
      0.15      0.25    -0.27737  0.00086998    0.013491    0.016812
   0.16667  0.016667    0.020973 -6.9264e-06 -0.00060408  2.8587e-05
   0.16667  0.033333   -0.005393 -2.0136e-05 -0.00079528  0.00013958
   0.16667      0.05   -0.029789 -3.3436e-05 -0.00064624  0.00035514
   0.16667  0.066667   -0.052661 -4.1677e-05 -0.00021214  0.00069629
   0.16667  0.083333   -0.074397 -4.0507e-05  0.00046492   0.0011844
   0.16667       0.1   -0.095367  -2.618e-05   0.0013529    0.001842
   0.16667   0.11667    -0.11595    4.59e-06   0.0024282   0.0026932
   0.16667   0.13333    -0.13651  5.4759e-05   0.0036744   0.0037634
   0.16667      0.15    -0.15738  0.00012707   0.0050821   0.0050783
   0.16667   0.16667    -0.17875  0.00022416   0.0066474   0.0066637
   0.16667   0.18333    -0.20055  0.00034865   0.0083699    0.008543
   0.16667       0.2    -0.22227  0.00050316    0.010249    0.010735
   0.16667   0.21667    -0.24292  0.00069029    0.012281    0.013252
   0.16667   0.23333    -0.26094  0.00091251    0.014448    0.016093
   0.16667      0.25    -0.27424   0.0011719    0.016723    0.019242
   0.18333  0.016667     0.01477 -6.2214e-06 -0.00051046  5.6397e-05
   0.18333  0.033333   -0.012656 -1.7015e-05 -0.00059062  0.00023568
   0.18333      0.05   -0.038074 -2.5909e-05 -0.00031347  0.00054878
   0.18333  0.066667    -0.06195 -2.7464e-05  0.00026687   0.0010088
   0.18333  0.083333   -0.084659 -1.7013e-05   0.0011102    0.001632
   0.18333       0.1    -0.10652   9.544e-06   0.0021868   0.0024377
   0.18333   0.11667    -0.12784  5.5881e-05   0.0034748   0.0034483
   0.18333   0.13333    -0.14886  0.00012537   0.0049589   0.0046875
   0.18333      0.15    -0.16975  0.00022118   0.0066295   0.0061799
   0.18333   0.16667    -0.19047  0.00034635    0.008481   0.0079484
   0.18333   0.18333    -0.21065  0.00050388    0.010509    0.010012
   0.18333       0.2    -0.22944  0.00069664    0.012705    0.012382
   0.18333   0.21667    -0.24544  0.00092736    0.015052    0.015061
   0.18333   0.23333    -0.25672   0.0011984    0.017521    0.018032
   0.18333      0.25    -0.26095   0.0015114    0.020059    0.021263
       0.2  0.016667   0.0062034 -5.0465e-06 -0.00036839  8.4399e-05
       0.2  0.033333   -0.021408  -1.228e-05  -0.0003029  0.00033143
       0.2      0.05   -0.047113 -1.5143e-05  0.00012689  0.00073984
       0.2  0.066667   -0.071373 -8.0502e-06  0.00087107   0.0013141
       0.2  0.083333   -0.094519  1.3892e-05   0.0018938   0.0020647
       0.2       0.1    -0.11678  5.5078e-05   0.0031692   0.0030071
       0.2   0.11667    -0.13832  0.00011953    0.004678    0.004161
       0.2   0.13333    -0.15923  0.00021101   0.0064061   0.0055479
       0.2      0.15    -0.17946  0.00033307   0.0083429   0.0071895
       0.2   0.16667     -0.1987  0.00048911    0.010479   0.0091042
       0.2   0.18333    -0.21627  0.00068238    0.012804    0.011305
       0.2       0.2    -0.23098   0.0009159    0.015298    0.013794
       0.2   0.21667    -0.24109   0.0011923     0.01793     0.01656
       0.2   0.23333    -0.24444   0.0015136    0.020651    0.019574
       0.2      0.25    -0.23866   0.0018807    0.023389    0.022785
   0.21667  0.016667  -0.0046349  -3.408e-06 -0.00017903  0.00011148
   0.21667  0.033333   -0.031524 -5.9677e-06  6.4827e-05  0.00042303
   0.21667      0.05   -0.056764 -1.2472e-06  0.00066924  0.00092078
   0.21667  0.066667   -0.080786   1.634e-05   0.0015917   0.0016002
   0.21667  0.083333    -0.10383   5.181e-05   0.0028032   0.0024653
   0.21667       0.1      -0.126  0.00010978   0.0042831   0.0035274
   0.21667   0.11667    -0.14727  0.00019458   0.0060156   0.0048026
   0.21667   0.13333     -0.1675   0.0003103   0.0079874   0.0063092
   0.21667      0.15     -0.1864  0.00046083    0.010186   0.0080646
   0.21667   0.16667    -0.20339  0.00064983    0.012596    0.010082
   0.21667   0.18333    -0.21747   0.0008807    0.015198    0.012366
   0.21667       0.2    -0.22714   0.0011564     0.01796    0.014909
   0.21667   0.21667    -0.23046   0.0014794    0.020833    0.017687
   0.21667   0.23333    -0.22521   0.0018509    0.023746    0.020657
   0.21667      0.25    -0.20921   0.0022709    0.026605    0.023752
   0.23333  0.016667   -0.017571 -1.3305e-06  5.4633e-05  0.00013661
   0.23333  0.033333   -0.042838  1.8211e-06   0.0005064    0.000507
   0.23333      0.05   -0.066876   1.555e-05    0.001304   0.0010848
   0.23333  0.066667   -0.090063  4.5289e-05   0.0024156   0.0018562
   0.23333  0.083333    -0.11251  9.6069e-05    0.003821   0.0028189
   0.23333       0.1    -0.13413  0.00017266   0.0055064   0.0039792
   0.23333   0.11667    -0.15467  0.00027962   0.0074597   0.0053489
   0.23333   0.13333    -0.17373  0.00042132   0.0096681   0.0069424
   0.23333      0.15    -0.19073  0.00060189    0.012116   0.0087718
   0.23333   0.16667     -0.2048  0.00082517     0.01478    0.010844
   0.23333   0.18333    -0.21466   0.0010946    0.017631    0.013154
   0.23333       0.2    -0.21863   0.0014129    0.020619    0.015686
   0.23333   0.21667    -0.21466   0.0017819    0.023678    0.018403
   0.23333   0.23333    -0.20066   0.0022021    0.026716    0.021248
   0.23333      0.25    -0.17487   0.0026724    0.029619    0.024147
      0.25  0.016667   -0.032357  1.1457e-06  0.00032797  0.00015899
      0.25  0.033333   -0.055148  1.0932e-05    0.001013  0.00058048
      0.25      0.05   -0.077299  3.4912e-05   0.0020185   0.0012262
      0.25  0.066667   -0.099107  7.8215e-05   0.0033259   0.0020738
      0.25  0.083333    -0.12052  0.00014577   0.0049262   0.0031141
      0.25       0.1    -0.14122  0.00024242   0.0068131   0.0043483
      0.25   0.11667    -0.16068  0.00037288   0.0089788   0.0057834
      0.25   0.13333     -0.1782  0.00054171     0.01141   0.0074288
      0.25      0.15    -0.19291  0.00075322    0.014087   0.0092908
      0.25   0.16667    -0.20367   0.0010113    0.016979    0.011369
      0.25   0.18333    -0.20897   0.0013192     0.02004    0.013651
      0.25       0.2      -0.207   0.0016793    0.023208     0.01611
      0.25   0.21667    -0.19579   0.0020928    0.026395      0.0187
      0.25   0.23333    -0.17351   0.0025591     0.02949    0.021356
      0.25      0.25    -0.13899   0.0030758    0.032363    0.023997
         0  0.016667  0.00093858           0           0           0
         0  0.033333   0.0059929           0           0           0
         0      0.05     0.01393           0           0           0
         0  0.066667    0.023197           0           0           0
         0  0.083333    0.032561           0           0           0
         0       0.1    0.041159           0           0           0
         0   0.11667    0.048436           0           0           0
         0   0.13333    0.054067           0           0           0
         0      0.15    0.057893           0           0           0
         0   0.16667    0.059856           0           0           0
         0   0.18333    0.059948           0           0           0
         0       0.2    0.058154           0           0           0
         0   0.21667    0.054413           0           0           0
         0   0.23333    0.048582           0           0           0
         0      0.25    0.040405           0           0           0
  0.016667         0  0.00093858           0           0           0
  0.033333         0   0.0059713           0           0           0
      0.05         0    0.013825           0           0           0
  0.066667         0    0.022916           0           0           0
  0.083333         0    0.031965           0           0           0
       0.1         0    0.040014           0           0           0
   0.11667         0    0.046337           0           0           0
   0.13333         0    0.050365           0           0           0
      0.15         0    0.051655           0           0           0
   0.16667         0     0.04987           0           0           0
   0.18333         0    0.044794           0           0           0
       0.2         0    0.036335           0           0           0
   0.21667         0    0.024538           0           0           0
   0.23333         0   0.0095804           0           0           0
      0.25         0  -0.0082481           0           0           0
   0.26667  0.016667   -0.048586  3.9691e-06  0.00063511  0.00017733
   0.26667  0.033333   -0.068025   2.117e-05   0.0015736   0.0006396
   0.26667      0.05    -0.08756  5.6423e-05   0.0027973   0.0013382
   0.26667  0.066667    -0.10738  0.00011442   0.0043035   0.0022428
   0.26667  0.083333    -0.12723  0.00019987   0.0060955   0.0033381
   0.26667       0.1    -0.14653   0.0003176   0.0081758   0.0046197
   0.26667   0.11667    -0.16447   0.0004724     0.01054   0.0060895
   0.26667   0.13333    -0.18004  0.00066894    0.013176   0.0077512
   0.26667      0.15    -0.19209  0.00091158    0.016056   0.0096051
   0.26667   0.16667     -0.1992   0.0012041    0.019141    0.011644
   0.26667   0.18333    -0.19974   0.0015496    0.022372    0.013847
   0.26667       0.2    -0.19187   0.0019499    0.025668     0.01618
   0.26667   0.21667    -0.17378   0.0024052    0.028924     0.01859
   0.26667   0.23333    -0.14408    0.002914    0.032014    0.021008
   0.26667      0.25    -0.10223   0.0034723    0.034793    0.023351
   0.28333  0.016667   -0.065862  7.0569e-06  0.00096757  0.00018995
   0.28333  0.033333   -0.081229  3.2252e-05   0.0021738  0.00067972
   0.28333      0.05   -0.097531  7.9519e-05   0.0036217   0.0014127
   0.28333  0.066667    -0.11482  0.00015298   0.0053258   0.0023521
   0.28333  0.083333    -0.13262  0.00025705    0.007303   0.0034767
   0.28333       0.1    -0.15008  0.00039641   0.0095645   0.0047767
   0.28333   0.11667    -0.16608  0.00057586     0.01211   0.0062486
   0.28333   0.13333    -0.17931  0.00080009    0.014926   0.0078905
   0.28333      0.15    -0.18834   0.0010734     0.01798   0.0096966
   0.28333   0.16667    -0.19158   0.0013994    0.021221    0.011653
   0.28333   0.18333    -0.18728   0.0017808    0.024577    0.013733
   0.28333       0.2     -0.1737   0.0022186    0.027951    0.015896
   0.28333   0.21667     -0.1493   0.0027125    0.031223    0.018086
   0.28333   0.23333    -0.11318   0.0032594    0.034251    0.020232
   0.28333      0.25   -0.065479   0.0038542    0.036886    0.022256
       0.3  0.016667   -0.083777  1.0301e-05   0.0013148  0.00019599
       0.3  0.033333   -0.094633  4.3828e-05   0.0027964  0.00069835
       0.3      0.05    -0.10731  0.00010351   0.0044697   0.0014454
       0.3  0.066667    -0.12169  0.00019282   0.0063675   0.0023954
       0.3  0.083333    -0.13712  0.00031576   0.0085201   0.0035223
       0.3       0.1    -0.15244  0.00047682    0.010948   0.0048109
       0.3   0.11667    -0.16623  0.00068069    0.013654   0.0062525
       0.3   0.13333    -0.17692  0.00093196    0.016623   0.0078395
       0.3      0.15    -0.18282   0.0012348    0.019818   0.0095605
       0.3   0.16667    -0.18218   0.0015926    0.023177    0.011396
       0.3   0.18333    -0.17327   0.0020074    0.026615    0.013315
       0.3       0.2    -0.15446   0.0024797    0.030021    0.015274
       0.3   0.21667    -0.12457   0.0030081     0.03326    0.017214
       0.3   0.23333   -0.083231   0.0035884    0.036184     0.01907
       0.3      0.25   -0.031219   0.0042142    0.038639     0.02077
   0.31667  0.016667    -0.10183   1.359e-05   0.0016659  0.00019537
   0.31667  0.033333    -0.10796  5.5531e-05   0.0034233  0.00069504
   0.31667      0.05    -0.11677   0.0001277   0.0053188   0.0014355
   0.31667  0.066667    -0.12801  0.00023282   0.0074027   0.0023719
   0.31667  0.083333     -0.1408  0.00037445   0.0097185   0.0034742
   0.31667       0.1    -0.15375  0.00055677    0.012295   0.0047226
   0.31667   0.11667    -0.16516  0.00078428    0.015139   0.0061033
   0.31667   0.13333    -0.17319   0.0010614    0.018234   0.0076035
   0.31667      0.15    -0.17597   0.0013921    0.021536   0.0092068
   0.31667   0.16667    -0.17163   0.0017793    0.024976     0.01089
   0.31667   0.18333    -0.15847   0.0022246    0.028454    0.012618
   0.31667       0.2    -0.13509   0.0027278     0.03185    0.014347
   0.31667   0.21667    -0.10066   0.0032863    0.035019    0.016022
   0.31667   0.23333   -0.055326   0.0038951    0.037807    0.017582
   0.31667      0.25 -0.00043124   0.0045465    0.040063    0.018966
   0.33333  0.016667    -0.11951  1.6813e-05   0.0020099  0.00018826
   0.33333  0.033333    -0.12095  6.6996e-05   0.0040365  0.00067026
   0.33333      0.05    -0.12582  0.00015136   0.0061465   0.0013838
   0.33333  0.066667    -0.13378  0.00027188   0.0084062   0.0022831
   0.33333  0.083333    -0.14376  0.00043157    0.010871   0.0033353
   0.33333       0.1    -0.15419  0.00063424    0.013577   0.0045167
   0.33333   0.11667    -0.16312  0.00088413    0.016535   0.0058087
   0.33333   0.13333    -0.16849   0.0011854    0.019727    0.007194
   0.33333      0.15    -0.16825   0.0015417    0.023104   0.0086523
   0.33333   0.16667    -0.16051   0.0019556    0.026589    0.010157
   0.33333   0.18333    -0.14361    0.002428    0.030072    0.011673
   0.33333       0.2    -0.11639    0.002958    0.033424    0.013157
   0.33333   0.21667   -0.078401   0.0035421    0.036495     0.01456
   0.33333   0.23333    -0.03023   0.0041745    0.039128    0.015828
   0.33333      0.25    0.026305   0.0048464    0.041178    0.016912
      0.35  0.016667    -0.13635  1.9865e-05   0.0023362  0.00017509
      0.35  0.033333    -0.13333  7.7873e-05   0.0046188   0.0006254
      0.35      0.05    -0.13437  0.00017382   0.0069316    0.001293
      0.35  0.066667    -0.13903  0.00030893   0.0093542   0.0021333
      0.35  0.083333    -0.14614  0.00048563    0.011952   0.0031119
      0.35       0.1    -0.15396  0.00070733    0.014768   0.0042019
      0.35   0.11667    -0.16037   0.0009779    0.017816    0.005381
      0.35   0.13333    -0.16314   0.0013012    0.021077   0.0066279
      0.35      0.15    -0.16011   0.0016805    0.024499   0.0079192
      0.35   0.16667    -0.14933   0.0021178    0.027996   0.0092269
      0.35   0.18333    -0.12928   0.0026137    0.031455    0.010517
      0.35       0.2   -0.099006   0.0031663    0.034737    0.011749
      0.35   0.21667   -0.058395   0.0037716     0.03769     0.01288
      0.35   0.23333  -0.0084265   0.0044227     0.04016    0.013866
      0.35      0.25    0.048725   0.0051102    0.042008    0.014672
   0.36667  0.016667     -0.1519  2.2649e-05   0.0026353  0.00015658
   0.36667  0.033333    -0.14487  8.7842e-05   0.0051544  0.00056263
